weapon_name,rarity,weapon_type,base_atk,secondary_stat,secondary_value,passive_skill_description,icon_image
Abyss Surges,5,Gauntlets,587,ATK%,36.40%,"Meningkatkan Energy Regen sebesar 12.8%. Saat mengenai target dengan Resonance Skill, meningkatkan Basic Attack DMG Bonus sebesar 10% selama 8 d.",weapon/Abyss_Surges.png
Ages of Harvest,5,Broadblade,587,Crit Rate,24.30%,"Memberikan 12% Bonus DMG Atribut. Menggunakan Skill Intro memberikan Ageless Marking kepada equipper, yang memberikan 24% Bonus DMG Skill Resonance selama 12 d. Menggunakan Skill Resonance memberikan Ethereal Endowment kepada equipper, yang memberikan 24% Bonus DMG Skill Resonance selama 12 d.",weapon/Ages_of_Harvest.png
Amity Accord,4,Gauntlets,337,DEF%,61.50%,"Saat Intro Skill digunakan, meningkatkan Resonance Liberation DMG Bonus sebesar 40% selama 15 detik.",weapon/Amity_Accord.png
Augment,4,Rectifier,412,Crit Rate,20.20%,"Menggunakan Resonance Liberation meningkatkan ATK sebesar 15% selama 15 detik.",weapon/Augment.png
Autumntrace,4,Broadblade,412,Crit Rate,20.20%,"Meningkatkan ATK sebesar 4% saat memberikan Basic atau Heavy Attack DMG, dapat ditumpuk hingga 5 kali. Efek berlangsung selama 7 detik dan dapat dipicu setiap 1 detik.",weapon/Autumntrace.png
Blazing Brilliance,5,Sword,587,ATK%,36.40%,"Meningkatkan ATK sebesar 12%. Mendapatkan 1 stack Searing Feather saat memberikan damage (maks 1 stack setiap 0.5 detik) dan 5 stack saat menggunakan Resonance Skill. Setiap stack memberikan 4% tambahan Resonance Skill DMG Bonus, hingga 14 stack. Semua stack akan hilang dalam 12 detik setelah mencapai jumlah maksimum.",weapon/Blazing_Brilliance.png
Broadblade#41,4,Broadblade,412,Energy Regen,32.30%,"Saat HP Resonator di atas 80%, meningkatkan ATK sebesar 12%. Saat HP di bawah 40%, memberikan penyembuhan sebesar 5% saat memberikan Basic atau Heavy Attack DMG. Efek ini dapat dipicu setiap 8 detik.",weapon/Broadblade#41.png
Cadenza,4,Pistols,412,Energy Regen,51.80%,"Saat Resonance Skill digunakan, memulihkan 16 Concerto Energy. Efek ini dapat dipicu setiap 20 detik.",weapon/Cadenza.png
Call of the Abyss,4,Rectifier,338,Energy Regen,51.80%,"Setelah menggunakan Resonance Skill, meningkatkan ATK sebesar 10% selama 16 detik dan memberikan 6 Resonance Energy.",weapon/Call_of_the_Abyss.png
Celestial Spiral,4,Gauntlet,462,ATK%,18.20%,"Menggunakan Resonance Skill memberikan 6 Resonance Energy dan meningkatkan ATK sebesar 10% selama 16 detik. Efek ini dapat dipicu setiap 20 detik.",weapon/Celestial_Spiral.png
Comet Flare,4,Rectifier,412,HP%,30.30%,"Saat mengenai target dengan Basic atau Heavy Attack, meningkatkan Healing Bonus sebesar 3%, dapat ditumpuk hingga 3 kali. Efek berlangsung selama 8 detik dan dapat dipicu setiap 0.6 detik.",weapon/Comet_Flare.png
