name,cost,sonatas,skill
Thundering Mephis,4,"[""Void Thunder""]","Transform into Thundering Mephis, rapid assault up to 6 Electro strikes. After final hit, grants +12% Electro DMG and +12% Resonance Liberation DMG for 15s."
Impermanence Heron,4,"[""Moonlit Clouds""]","Transform into Heron and deal Havoc DMG; long press for continuous flame attack that restores Resonance Energy. Grants next character damage bonus."
Inferno Rider,4,"[""Molten Rift""]","Transform into Inferno Rider, perform 3-hit Fusion assault; last hit is slow but buffing Fusion and Basic Attack."
Bell-Borne Geochelone,4,"[""Rejuvenating Glow"", ""Moonlit Clouds""]","Activate protection, dealing Glacio DMG based on DEF, reduce incoming damage and increase damage dealt."
Crownless,4,"[""Havoc Eclipse""]","Transform into Crownless and deal Havoc DMG; increases Havoc DMG and Resonance Skill DMG."
Feilian Beringal,4,"[""Sierra Gale""]","Transform into Feilian Beringal, continuously attack dealing Aero DMG; increases Aero DMG and Heavy Attack DMG."
Fallacy of No Return,4,"[""Rejuvenating Glow""]","Summon a fraction of mind's power; simple summon, grants Energy Regen and ATK buff."
Mech Abomination,4,"[""Lingering Tunes""]","Transform Echo dealing damage; specifics vary per build."
Mourning Aix,4,"[""Celestial Light""]","Transform Echo, medium damage; easy to swap out."
Tempest Mephis,4,"[""Gusts of Welkin""]","Overlord Transform dealing Aero DMG; buffs Aero and Glacio DMG."
Dragon of Dirge,4,"[""Shield Support""]","Summon Echo with shield and HP-scale damage."
Lampylumen Myriad,4,"[""Freezing Frost""]","Overlord Echo; likely frost-element burst with scaling effects."
Lorelei,4,"[""Celestial Light""]","Support-type Echo; provides team buffs and minor burst damage."
